alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,4112.498126012311,3197,398007.735996424,136927371.58103764
0.55,4494.786726269727,3517,456847.42863013415,157986778.45367244
0.6,4871.909126172795,3836,522265.1054791904,181558049.85492736
0.65,5243.881273053363,4156,596032.6265618172,208298971.86322635
0.7,5610.874065275668,4476,680796.4275514263,239183711.05856916
0.75,5972.639836597748,4795,780563.4398417409,275672797.0431468
0.8,6329.240860871482,5115,902192.3766132509,320234227.3267742
0.85,6680.42613186104,5435,1058524.541752576,377408628.96559286
0.9,7025.890869152921,5754,1278789.5464084845,457280290.2106889
0.95,7364.658684282171,6074,1658769.0044884807,591638787.7707607
