alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,17101.85014739191,12945,6614580.250478766,10874522708.631527
0.55,18647.41433148516,14240,7574939.97557667,12531955876.927195
0.6,20167.195752757412,15534,8639254.910107693,14385702288.580832
0.65,21662.130070451585,16829,9835497.13133159,16487977801.912006
0.7,23133.35248278996,18124,11204735.624322027,18915394693.252357
0.75,24582.29655089685,19418,12810744.382330578,21786722677.650146
0.8,26010.881071774398,20713,14760642.99888251,25301227502.064507
0.85,27421.74761180007,22007,17255221.78688481,29831898115.6497
0.9,28819.827417324956,23302,20746797.674321968,36217296058.52603
0.95,30217.89107180342,24596,26687066.913447227,47141595022.76486
