alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3873.3595678081774,3197,386135.74504096364,14812214.729325177
0.55,4243.824405405944,3517,443906.35467278294,17220001.728650447
0.6,4611.07966289089,3836,508278.8962467153,19941403.09626225
0.65,4975.0942341639775,4156,581028.073563894,23058729.57183588
0.7,5336.007963227587,4476,664803.1005094945,26693639.149419796
0.75,5693.5623713290315,4795,763616.9089731232,31028794.560567282
0.8,6048.353166899932,5115,884352.047457758,36455838.7627525
0.85,6399.087575595836,5435,1039843.5330473131,43397254.79070748
0.9,6746.446202486853,5754,1259367.175939135,53189553.812335506
0.95,7090.181818581799,6074,1638843.2790178964,69826209.82568115
