alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,55283.00074056522,51150,5844882.366323626,2235436044.6006646
0.55,60782.304558896525,56265,6735599.3107909635,2575857911.1895857
0.6,66272.61682323438,61380,7732070.294076612,2956298256.3959427
0.65,71751.85241813818,66495,8862718.645176088,3387346053.7402124
0.7,77217.36483381086,71610,10169287.617612172,3884476046.5350666
0.75,82665.49457770167,76725,11716716.572161548,4471642505.838453
0.8,88090.22645599289,81840,13614188.793402627,5188903230.898297
0.85,93481.03004349036,86955,16067684.02298018,6111334417.944535
0.9,98815.30369784741,92070,19544712.132645257,7407983111.761941
0.95,104023.74915952458,97185,25578134.726872038,9627866293.901995
