alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,464.50389835672985,200,34323.48088281273,7667998.475829827
0.55,496.91458280990616,220,38751.11297628619,8900529.63616555
0.6,527.9731314023563,240,43610.7877331191,10305419.642648118
0.65,557.5687972939684,260,48980.37910285317,11915367.881699393
0.7,585.6930540679144,280,54996.524123753545,13782595.062201828
0.75,612.7259334427335,300,61957.24886594084,16014863.792385776
0.8,638.6690023426916,320,70238.66662988783,18752728.916350543
0.85,663.9481004193578,340,80690.85804401246,22304209.015482157
0.9,689.0036699770815,360,95133.18989948924,27324678.36792149
0.95,715.1686811618875,380,119583.8792851356,35944860.269902036
