alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,54489.015599907776,51150,5803396.164749113,273781024.0654309
0.55,59939.707932758276,56265,6690199.7966488525,315847216.3340762
0.6,65398.811063610636,61380,7679063.289701984,361961868.36024415
0.65,70832.28536010864,66495,8809118.66491173,416269314.65371543
0.7,76269.65299309432,71610,10111516.3304143,477905432.75174797
0.75,81693.85456847356,76725,11655077.156899787,550877129.9709556
0.8,87103.03810120259,81840,13548587.906613847,640111297.7967045
0.85,92486.43291290723,86955,15998197.011580806,755068478.1255951
0.9,97820.3615386131,92070,19471759.761274878,916860496.3883277
0.95,103085.27468142101,97185,25477943.133902382,1209133253.0340834
