alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,524.6865919687413,200,37003.21698965818,40583531.81732112
0.55,557.9171653812007,220,41593.8319872162,46798155.04521576
0.6,589.3939527544771,240,46605.06914914348,53826442.424176656
0.65,619.046835676707,260,52115.33607280377,61822148.76590306
0.7,646.9382425269669,280,58258.98615804669,71030063.21403071
0.75,673.4792303145699,300,65335.87635019644,81965381.7906652
0.8,698.7031374777299,320,73720.7598804559,95293796.57992458
0.85,723.0445148636898,340,84262.63061684837,112481355.72420734
0.9,746.9273713105454,360,98775.74844927415,136644152.4728764
0.95,771.5701563122694,380,123260.36351265146,177922138.92292458
