alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1125.0078305462969,799,103998.76966243253,2961315.281133488
0.55,1228.590056895645,879,119260.89040295083,3511512.2143600425
0.6,1329.7905086529308,959,136120.09008584952,4118823.503172341
0.65,1429.4351286382866,1039,155083.8337734223,4826052.302789094
0.7,1527.4851734458673,1119,176795.59083682357,5662987.013265255
0.75,1624.0944798408289,1199,202269.23476173027,6675566.244458821
0.8,1719.5183577801565,1279,233251.53741550064,7942391.227887047
0.85,1813.8992628294195,1359,272931.83766340395,9605142.377676861
0.9,1907.8840943232167,1439,328654.7339110441,11983049.89288095
0.95,2003.6807939880332,1519,424486.5805305449,16149340.258731542
