alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,14928.918263900936,12788,1517496.3078366613,2666374912.498973
0.55,16369.616458090364,14066,1745717.730531033,3072654771.966666
0.6,17800.233953419647,15345,2000391.8145046283,3526671113.991184
0.65,19219.77244668643,16624,2288524.4230154515,4040707133.6589036
0.7,20628.14071566272,17903,2620647.1055862117,4633056332.259224
0.75,22024.169055523886,19181,3012922.0485343994,5331460481.324128
0.8,23406.503979707555,20460,3492639.3279441465,6182033294.57554
0.85,24772.672727947975,21739,4111255.014828951,7269877162.489182
0.9,26117.560535476987,23018,4985577.380075811,8782074607.984808
0.95,27426.093640177816,24296,6498596.961695074,11299581743.599697
