alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,14661.783407702384,12788,1504041.0089098986,556039290.191894
0.55,16087.145645202698,14066,1730964.304506745,641047233.830959
0.6,17504.4087871311,15345,1984351.900152992,736107484.7673186
0.65,18912.5646671478,16624,2271212.1128958617,843807431.4685518
0.7,20311.510884975774,17903,2602078.862650823,968000265.9428461
0.75,21700.081608878325,19181,2993119.2238166993,1114529924.9436786
0.8,23076.946143904508,20460,3471631.1661132635,1293110969.02371
0.85,24439.699215101205,21739,4089086.4193340526,1521673327.0728743
0.9,25783.420084786303,23018,4962330.314460467,1839637279.8222258
0.95,27093.74587124348,24296,6474482.632591457,2369438120.1746726
