alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,351.0423703186735,200,29162.61734184632,435379.6115962318
0.55,382.6828578384809,220,33319.335530968696,534002.6023158128
0.6,413.549827959882,240,37927.389361020054,648379.792047026
0.65,443.8420246675607,260,43080.72082023182,787191.0174488482
0.7,473.3723416486383,280,48911.80992897592,955817.8333424092
0.75,502.4427474350938,300,55715.895730609496,1165888.1498620051
0.8,530.9711538681789,320,63873.42289419134,1433582.1930902225
0.85,560.1942441619316,340,74286.78141536714,1824348.140717283
0.9,589.3424735672444,360,88716.40754576203,2376280.1819136646
0.95,620.9858509278312,380,113278.58953979661,3382554.482014919
