alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,14238.258264239206,12788,1482493.4560433037,65489076.9848081
0.55,15639.651989449481,14066,1707338.5546408219,75720902.87714028
0.6,17036.249278718828,15345,1958668.431286252,87210579.269146
0.65,18427.060711478192,16624,2243496.874620745,100283113.86376598
0.7,19812.002441275596,17903,2572363.7260234826,115422112.84919089
0.75,21189.95492623774,19181,2961447.0475042746,133362200.93058519
0.8,22559.66933156415,20460,3438062.2452963707,155325036.46803448
0.85,23918.903398119633,21739,4053713.870843461,183567322.1396645
0.9,25263.11867220992,23018,4925321.68953591,223058931.4843602
0.95,26579.18018431457,24296,6436251.604385453,289264289.96893436
