alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1275.5448313417146,799,111189.4629388072,33117447.578030314
0.55,1383.9848956387941,879,126988.71616628995,38296264.98795749
0.6,1489.1811006591568,959,144378.3869964483,44095469.44690293
0.65,1591.5688614978772,1039,163844.3827407724,50694367.243005864
0.7,1691.2183993603749,1119,186025.40126400156,58330064.048394665
0.75,1788.3014567229568,1199,211935.87921425884,67375444.89407764
0.8,1883.1132669988883,1279,243317.03227951357,78463871.58449441
0.85,1975.7779949271585,1359,283347.6680826593,92737313.638307
0.9,2066.81543168823,1439,339349.4234348878,112777591.23458205
0.95,2157.5663869754444,1519,435293.3466502276,146815252.57998642
