trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,1558,0,155428,0,0.004752948880195618,0.008393358439207077,0,32701382.640076496
1,1551,0,155031,0,0.004567377269268036,0.008467953652143478,0,33943112.39475191
2,1539,0,154266,0,0.004707392305135727,0.008217662572860718,0,32771009.93509656
3,1543,0,154922,0,0.004288874566555023,0.008393198251724243,0,36121830.46995447
4,1541,0,154128,0,0.004286337643861771,0.008255738765001297,0,35957969.90484832
5,1553,0,155078,0,0.0043487586081027985,0.008374311029911041,0,35660291.58552325
6,1545,0,154232,0,0.0046450793743133545,0.008240360766649246,0,33203307.75247493
7,1549,0,154586,0,0.004333633929491043,0.00836850330233574,0,35671217.854378186
8,1542,0,154547,0,0.004787180572748184,0.008317489176988602,0,32283511.6936646
9,1557,0,155064,0,0.004389718174934387,0.008397694677114487,0,35324363.39203433
