trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,2186,0,441857,0,0.006429988890886307,0.02486596256494522,0,68718159.15985115
1,2199,0,441781,0,0.006479993462562561,0.024736039340496063,0,68176149.02736251
2,2187,0,442078,0,0.006405871361494064,0.024526946246623993,0,69011376.44713686
3,2181,0,441491,0,0.006428886204957962,0.024829749017953873,0,68673015.18877746
4,2182,0,441924,0,0.006520230323076248,0.02471025288105011,0,67777360.32359974
5,2202,0,441988,0,0.006513115018606186,0.02466782182455063,0,67861230.56899215
6,2206,0,440740,0,0.006701841950416565,0.024965472519397736,0,65764009.84398103
7,2207,0,442672,0,0.006610248237848282,0.025272734463214874,0,66967530.427283205
8,2192,0,441809,0,0.006443485617637634,0.024793308228254318,0,68566770.56757051
9,2199,0,441330,0,0.006532438099384308,0.02479168400168419,0,67559767.62207605
