alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,7029.26670078302,5140,1676025.4087804363,811488659.110237
0.55,7656.986026268632,5654,1918535.997434356,935318782.4335622
0.6,8272.395377346356,6168,2186953.1698935684,1073736987.7061615
0.65,8876.403942582974,6682,2488524.3932480905,1230741622.8755531
0.7,9469.124891740048,7196,2833397.116816894,1411930660.8842645
0.75,10051.214475677703,7710,3237646.7958544497,1626131329.721906
0.8,10623.333595866887,8224,3728204.3681758856,1888060259.9236305
0.85,11186.587699220965,8738,4355406.806963094,2225055502.630166
0.9,11742.611023423977,9252,5233191.809294788,2698408527.4930916
0.95,12297.084699663797,9766,6728320.145858681,3502491313.195294
