alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,2823.3546772123445,2032,418850.87741145946,41016506.57351837
0.55,3075.992043601005,2235,479525.33578105376,47354731.86109083
0.6,3323.9417541947228,2439,546745.0233701544,54460297.923326485
0.65,3567.3816411174507,2642,622283.9555702406,62536332.75265018
0.7,3806.3253679797363,2845,708671.951393878,71871597.18252954
0.75,4041.2316826055635,3048,810011.2886960186,82930634.63245808
0.8,4272.28193607008,3251,933003.70962563,96467854.62796377
0.85,4500.085682670144,3455,1090420.684662642,113906912.05923642
0.9,4725.655936587415,3658,1311016.4031437454,138411039.93567932
0.95,4952.165592454215,3861,1688162.4243309235,180042359.3663499
