alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3001.8015047445742,2032,432624.62352452823,200996411.43097934
0.55,3262.4497916341143,2235,494493.3574793662,231691834.80145964
0.6,3516.988102927183,2439,562878.6330530581,266028035.5986206
0.65,3765.6703967936046,2642,639552.018739524,304969433.19409555
0.7,4008.6050583843953,2845,727037.4567184489,349887326.81320167
0.75,4246.2095282551,3048,829443.219028678,402986473.75417745
0.8,4478.837098634464,3251,953453.9596438782,467851703.13828695
0.85,4706.874114507648,3455,1111843.1309880305,551244572.3168038
0.9,4931.399905627832,3658,1333326.3351984646,668189846.4909513
0.95,5155.030546864429,3861,1711181.7725935553,866478069.6964213
