alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1298.5541189492785,799,112271.02205944726,49558785.200799145
0.55,1407.762854972108,879,128154.60103411737,57158596.22649728
0.6,1513.5384789678278,959,145623.2891386753,65637810.231627986
0.65,1616.3255684031158,1039,165163.99589247507,75252738.91574968
0.7,1716.2061349836092,1119,187415.2096217188,86340793.2753496
0.75,1813.3614982107272,1199,213391.03953158617,99432754.78839585
0.8,1908.0921604599891,1279,244832.11825345072,115430359.08984654
0.85,2000.52097092731,1359,284915.8137348298,135958710.4573971
0.9,2091.15045284478,1439,340960.603252776,164692861.70110434
0.95,2181.2470060900177,1519,436926.89074494044,213349606.71773618
