alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,522.5569757298858,315,27759.262872201398,2434360.240865981
0.55,566.9624358479476,347,31707.13107002504,2814712.257073174
0.6,610.1510370193639,378,36065.08035840614,3241571.807125317
0.65,652.175682761673,410,40945.30339012249,3727038.3559472836
0.7,693.0927143050717,441,46512.68138318642,4288716.4925635
0.75,732.966314929988,473,53024.06219796448,4953697.369574551
0.8,771.9267791377549,504,60923.899840533806,5768149.595979264
0.85,809.9768856457282,536,71008.0621869198,6813140.413686426
0.9,847.4341787082357,567,85170.01646268516,8276940.080480361
0.95,885.0181892510575,599,109714.93375183656,10767300.651263652
