alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1204.223425734119,799,107806.33291668123,10031920.776959982
0.55,1309.5893135275714,879,123314.28489529512,11593743.19563645
0.6,1412.2898759614447,959,140420.71574360112,13341216.126746517
0.65,1512.7118909537198,1039,159611.76594483267,15328219.668902043
0.7,1610.8984336939875,1119,181526.7274997703,17625843.849429596
0.75,1706.9975838577548,1199,207180.78310477838,20345872.54522279
0.8,1801.2890893251852,1279,238316.43817196676,23678170.888124507
0.85,1893.8982336638924,1359,278116.2024231479,27965016.21647125
0.9,1985.3857802738958,1439,333909.8034817719,33980286.01883921
0.95,2077.257798495565,1519,429698.317655977,44190706.33191895
