alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,15997.959484028972,12945,6390132.538139676,674108734.6811582
0.55,17488.262009088066,14240,7329843.19088401,777563974.4707285
0.6,18961.185737125707,15534,8373964.6747033475,893451514.9021491
0.65,20417.794501415072,16829,9550199.193214873,1025025887.9727118
0.7,21859.436530965995,18124,10899449.115557838,1177138177.4485545
0.75,23285.63742769264,19418,12486492.952244634,1357309033.380395
0.8,24701.78390065785,20713,14416758.055878019,1578072943.6091735
0.85,26106.554379177385,22007,16893209.841141123,1863041803.863299
0.9,27507.988761661458,23302,20367384.417418227,2265145345.2519717
0.95,28923.3897374373,24596,26290697.33831805,2947917598.3818603
