alpha,optimiser_mt,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,optimiser_cost,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20
0.5,5162.811091258773,5127,5168,5127,5184,5185,5191,5248,5194,5183,5191,5206,5219,5187,5133,5188,5145,5221,5158,5180,5164,1440229.3487911364,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560,2076560
0.55,5681.132645189762,5711,5665,5689,5691,5720,5613,5680,5715,5610,5736,5641,5707,5689,5686,5727,5745,5715,5646,5637,5669,1660300.32160608,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130,2538130
0.6,6199.395708442549,6233,6194,6264,6228,6232,6254,6206,6208,6236,6267,6215,6176,6231,6237,6172,6284,6138,6184,6248,6185,1906478.8281906806,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840,3114840
0.65,6717.920613681665,6723,6677,6703,6727,6740,6701,6768,6777,6697,6756,6737,6759,6758,6707,6814,6713,6749,6685,6778,6751,2185988.2544065667,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584,3856584
0.7,7236.2868726521265,7183,7273,7283,7259,7256,7237,7188,7249,7184,7240,7220,7245,7297,7302,7326,7213,7254,7234,7256,7248,2508980.280170153,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374,4845374
0.75,7754.431691053556,7746,7728,7756,7762,7814,7790,7785,7823,7763,7804,7761,7788,7815,7759,7745,7796,7771,7768,7773,7741,2891508.032587271,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680,6229680
0.8,8272.124535577488,8285,8316,8288,8301,8256,8335,8312,8318,8317,8341,8339,8264,8258,8317,8333,8341,8257,8301,8306,8283,3360464.6552403094,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442,8306442
0.85,8788.71433314553,8815,8824,8772,8817,8835,8781,8806,8820,8744,8846,8856,8838,8835,8802,8832,8804,8827,8780,8853,8849,3966144.3015272333,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308,11767308
0.9,9303.193905375083,9382,9312,9325,9356,9321,9320,9315,9340,9330,9329,9368,9351,9335,9331,9310,9316,9364,9331,9357,9321,4822275.10266838,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242,18689242
0.95,9812.243894445011,9853,9852,9859,9862,9835,9866,9854,9857,9860,9853,9850,9841,9871,9859,9824,9860,9851,9841,9861,9875,6294938.439562816,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246,39455246
