alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,419.61935055002203,200,32303.567025218723,2354336.9246891863
0.55,450.96621765623536,220,36588.3688232716,2732660.427622416
0.6,481.2049120374451,240,41308.17151524418,3157916.2348335413
0.65,510.2592864980347,260,46546.492528286435,3644473.552857204
0.7,538.1078937259065,280,52438.448046929596,4207854.696950039
0.75,565.0937743810067,300,59282.06721845539,4880408.959761588
0.8,591.1985124634913,320,67454.76966247869,5704197.985784323
0.85,616.8375333692745,340,77807.31450595475,6771453.375847897
0.9,642.4622441688123,360,92162.88557051768,8278309.45464435
0.95,669.4776495666313,380,116553.79218931249,10862150.962746335
