alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,54848.19709736823,51150,5822307.119182941,671263636.5507483
0.55,60320.981199566464,56265,6710802.795862737,773503396.6646944
0.6,65788.20488932646,61380,7705024.334626375,887724017.937031
0.65,71248.2917335451,66495,8833353.778258847,1017105471.826869
0.7,76697.73754133507,71610,10137662.546277247,1166289104.379747
0.75,82146.56514072872,76725,11678509.946090123,1328061275.3842142
0.8,87547.54059237678,81840,13578282.12712612,1557912187.0896857
0.85,92933.2414580116,86955,16029654.824364351,1834781490.495651
0.9,98267.09435654583,92070,19504694.02050277,2223983333.9601936
0.95,103481.68738972273,97185,25536518.023852237,2890427325.6197596
