alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,6689.380161961915,5140,1633443.665274288,166665958.0399238
0.55,7300.712123130582,5654,1872144.1434495547,192332837.0812929
0.6,7902.38282572462,6168,2136832.894417692,221073567.5809142
0.65,8495.189669633759,6682,2434755.7099598404,253729670.81717706
0.7,9079.164523308167,7196,2776066.3751716027,291479897.08065104
0.75,9654.8931444716,7710,3176846.7684585433,336182464.1788362
0.8,10223.083079068138,8224,3664036.18298573,390934836.27112067
0.85,10784.638398615612,8738,4288019.387067246,461493856.6033776
0.9,11341.769535793224,9252,5162781.141629145,560761660.1334807
0.95,11900.876839018887,9766,6655344.632743788,729657568.4036793
