alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,312.9765043415032,200,27382.437146557986,182826.70957008092
0.55,342.4677307000396,220,31317.488512202806,219220.53525623115
0.6,370.7899458820397,240,35738.06736261159,259145.54528113754
0.65,399.0459030390011,260,40687.75089074987,306733.59609562164
0.7,426.91054084249646,280,46318.986487957605,363657.70445812785
0.75,454.65689823983206,300,52930.46560997982,433807.7249683167
0.8,481.9333192601708,320,60907.32606853301,521277.4517495517
0.85,509.5172949927333,340,71092.06201232939,637403.8064944312
0.9,538.9069915786376,360,85341.97308824619,813717.3019131875
0.95,569.6914053986369,380,109749.54570673667,1117129.9390677654
