alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3989.13045899697,3197,391910.0992438055,41252035.0878428
0.55,4364.878086900177,3517,450178.44268847664,47585621.32449616
0.6,4736.414175254562,3836,515032.5868098229,54672375.39761971
0.65,5103.727926090959,4156,588245.7020476606,62709647.95835641
0.7,5466.975094661271,4476,672465.0192429812,71989685.30077349
0.75,5825.901426274439,4795,771699.8259191025,82950671.54084314
0.8,6180.571091026207,5115,892812.2449196844,96333138.19807243
0.85,6530.762350139795,5435,1048650.9153861124,113499670.49742387
0.9,6876.266842023758,5754,1268462.711858008,137476997.35942715
0.95,7216.469691105521,6074,1648090.175468756,177809477.3289948
