alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,55404.063572612125,51150,5851129.6954166945,3197791026.9799647
0.55,60910.62465947206,56265,6742465.173117131,3684062869.4203925
0.6,66407.31769686047,61380,7739548.627321111,4227368658.717684
0.65,71891.9273563906,66495,8870816.759775674,4842757058.985619
0.7,77361.93299266597,71610,10177993.606882688,5552300745.390346
0.75,82813.52779160673,76725,11726029.65880414,6390131211.966576
0.8,88240.68379010377,81840,13624099.730403714,7413312173.878273
0.85,93632.84784717168,86955,16078170.596740494,8728795462.195229
0.9,98967.22514373825,92070,19555735.442345697,10577440669.697172
0.95,104174.0490834907,97185,25589585.8717598,13741505216.986145
