alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,6127.220666093516,5140,1561574.282184147,18069756.456206035
0.55,6711.559103733005,5654,1793829.2194875285,21000960.50989678
0.6,7290.908051855139,6168,2052220.7822338112,24315192.356713384
0.65,7865.947890418195,6682,2343999.5720683667,28117218.463615082
0.7,8437.60688016728,7196,2679233.7905476866,32563714.910168555
0.75,9040.529789058335,7710,3058664.136031363,38301574.84589206
0.8,9619.44061994152,8224,3532903.142421429,45059155.922051795
0.85,10194.311086458685,8738,4145828.7203589743,53839046.4213976
0.9,10776.339899383564,9252,5006994.286668231,66356648.67022372
0.95,11371.787134350036,9766,6488763.046368593,87820317.10698086
