alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,14726.427041368059,12788,1507304.3242761118,800133885.8719643
0.55,16155.449463140902,14066,1734539.9574188755,922033080.4821589
0.6,17575.88317717187,15345,1988236.4480257689,1058251071.8180654
0.65,18986.72132302757,16624,2275401.435664016,1212472595.8641803
0.7,20387.863019449134,17903,2606568.158751711,1390185581.160531
0.75,21778.13995676919,19181,2997902.3333936096,1599712424.207932
0.8,23156.213761529783,20460,3476699.7687761923,1854887401.5366752
0.85,24519.657979853713,21739,4094427.9751973934,2181242596.86276
0.9,25863.498135051326,23018,4967922.453870072,2634908030.944067
0.95,27173.16951918214,24296,6480269.373354284,3390194472.3277087
