alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,53947.13010228461,51150,5773431.328248076,83295424.80432667
0.55,59364.135181140795,56265,6657959.405459945,96213717.38293393
0.6,64786.08476022801,61380,7643320.859094939,109717986.54267137
0.65,70206.52955430438,66495,8769443.273202106,125881187.53069803
0.7,75625.07691618797,71610,10067775.167927947,143080188.63110957
0.75,81046.6219347816,76725,11601224.480347535,165189779.96612817
0.8,86450.57959097903,81840,13491692.741819303,193676112.1834155
0.85,91834.433717463,86955,15932929.078287268,228902744.81485134
0.9,97183.92958642816,92070,19395343.43635835,278908255.29615825
0.95,102431.56112486881,97185,25418872.756352752,365570438.34618735
