alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,572.4238096786287,315,29184.72910694492,12139428.01237792
0.55,618.6207513939298,347,33247.55385966313,14000139.812613236
0.6,663.1938764274818,378,37715.67127334428,16080971.56684784
0.65,706.2266737851552,410,42701.1585722935,18439321.616473045
0.7,747.3055235739339,441,48351.918303852806,20839524.950945828
0.75,788.0054210042621,473,54974.46211667565,24367662.21422937
0.8,826.981957045363,504,62962.21219783749,28285327.293872956
0.85,864.7375254504063,536,73125.45949050969,33296294.47738994
0.9,901.5627710423153,567,87352.8988166012,40294392.46880409
0.95,938.0517129450698,599,111931.7889517592,52166588.13411553
