alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,4149.027950621188,3197,399805.28248914925,199474081.719565
0.55,4533.112449900051,3517,458804.7988421901,229900611.7871477
0.6,4911.728417672453,3836,524379.3122562221,263906763.97455537
0.65,5284.869411653819,4156,598301.5671827726,302421336.7761518
0.7,5652.826203180196,4476,683211.5535849417,346830877.67067444
0.75,6015.244471925675,4795,783121.5188076441,399221889.8551083
0.8,6372.2239923284915,5115,904886.9460536957,463104785.4693372
0.85,6723.505099444409,5435,1061346.7508282657,544944024.4858067
0.9,7068.751616582552,5754,1281725.0822871856,659096489.3530813
0.95,7406.866482399699,6074,1661785.0489410672,850819455.8536862
