alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1047.358501758655,799,100200.09362686648,1006948.6682656835
0.55,1146.1580663428645,879,115065.4718914083,1176619.2139043584
0.6,1243.6618206650526,959,131554.03135929498,1369339.4733078668
0.65,1340.1794690590589,1039,150151.51442421143,1591720.957011952
0.7,1435.7057686537541,1119,171499.76068466302,1852576.1458996572
0.75,1530.346648344816,1199,196617.3652773303,2165714.6716795433
0.8,1624.3552395117495,1279,227252.39409574476,2554538.2373572635
0.85,1731.7120878321523,1359,264485.9149555001,3134653.455603002
0.9,1813.2869722961143,1439,322009.82579594495,3801156.902308675
0.95,1908.9595781938112,1519,417612.36426239484,5054853.500080914
