alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,15520.698747655177,12945,6291517.978492572,238563773.80659536
0.55,16989.73021120281,14240,7223274.670626187,277539219.30055267
0.6,18445.698433801423,15534,8259194.630456318,321723224.2605179
0.65,19890.28453673739,16829,9427688.18940955,372425105.4336817
0.7,21323.428724804093,18124,10769248.126767002,431726526.2828089
0.75,22745.843780816736,19418,12349297.462515112,502940529.58655894
0.8,24160.381792760832,20713,14273410.820190081,590826471.0950859
0.85,25581.161094502746,22007,16718822.96498703,702802891.0416694
0.9,26989.25411571904,23302,20190313.9668381,849443608.5426974
0.95,28426.365833559576,24596,26107575.669013623,1153942541.0396447
