alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,6949.940271305251,5140,1666141.4540252448,552351473.8512793
0.55,7574.198088097291,5654,1907805.5574016299,637616378.801164
0.6,8186.741635780057,6168,2175413.2489360585,733140406.3065281
0.65,8788.556843003782,6682,2476191.088502677,841717877.914507
0.7,9379.636254631592,7196,2820305.3108630492,967286338.3282775
0.75,9960.67978887232,7710,3223823.760923856,1116035691.2991922
0.8,10532.28639906817,8224,3713672.395997397,1297941997.316901
0.85,11095.567530225848,8738,4340241.842118059,1533248623.8683453
0.9,11652.352935888208,9252,5217434.78880258,1863914663.9825165
0.95,12208.423008296393,9766,6712101.353007292,2426691056.1331882
