alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,607.3365623960146,315,30170.11697362429,40393236.83137053
0.55,654.7077366832298,347,34310.77306937384,46591704.523750626
0.6,700.1800706366305,378,38853.4530047892,53525268.12312102
0.65,743.8629691998199,410,43910.12430230276,61385129.7642256
0.7,785.8609461362664,441,49645.307042466964,70450065.21079351
0.75,826.2780287960295,473,56315.09730527287,81149178.63268718
0.8,865.273079158325,504,64362.62120053254,94214185.55797873
0.85,902.8596830412266,536,74580.1017454884,110929665.12039605
0.9,939.3218233384985,567,88853.41118561818,134281944.65326926
0.95,975.1941784693249,599,113459.1009136121,173921238.17657012
