alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,16499.377283288683,12945,6492637.065203027,2236911652.70688
0.55,18015.449486034297,14240,7441922.855794,2580844270.9955893
0.6,19510.368035590473,15534,8495413.020680549,2966159888.5432816
0.65,20985.135321574173,16829,9680938.739606256,3403830791.9093766
0.7,22440.73378210891,18124,11039616.744747732,3909992314.613322
0.75,23878.352782438596,19418,12635318.052645132,4509649559.834674
0.8,25299.72433722272,20713,14575269.36601979,5244719512.4398775
0.85,26708.027465010055,22007,17060123.4849132,6193749956.586573
0.9,28108.594772604094,23302,20542385.474259544,7533163707.048055
0.95,29516.13695280621,24596,26474178.746625036,9828019890.527641
