alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,6431.029539909079,5140,1600672.6390799452,56356756.15825928
0.55,7032.080020375593,5654,1836722.9832055748,65747069.39087117
0.6,7625.782718201308,6168,2098885.574538602,76418715.2150042
0.65,8212.932551463076,6682,2394396.5859557483,88721822.46422249
0.7,8793.197433425947,7196,2733461.243937804,103144634.7084144
0.75,9367.448191953647,7710,3132130.2097386643,120462906.1905556
0.8,9936.171175532316,8224,3617391.60241737,141959902.78032205
0.85,10500.574965746866,8738,4239655.180263683,170023211.48223764
0.9,11063.086679612821,9252,5113014.497743006,209997687.91805658
0.95,11631.208277849613,9766,6604794.3678235,278818045.62602204
