alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,1364.5723794726023,799,115358.01651696644,164946153.16231325
0.55,1476.3495877280634,879,131497.03768402917,190262053.56297952
0.6,1584.1667883175276,959,149212.2035232845,218513898.6431376
0.65,1688.52333217101,1039,168990.25336370926,250550963.9507096
0.7,1789.5275430554402,1119,191469.8757114216,287503785.6942125
0.75,1887.3919253444715,1199,217664.50167707118,331141390.3242455
0.8,1982.4386414782991,1279,249313.82411646727,384472233.18556505
0.85,2074.798728808013,1359,289592.2954285094,452919002.15417045
0.9,2164.7275151539507,1439,345796.90863244556,546635905.8463356
0.95,2254.0573739004676,1519,441909.11215066,711071169.7211913
