degree,alpha_0.5,alpha_0.6,alpha_0.7,alpha_0.75,alpha_0.8,alpha_0.85,alpha_0.9,alpha_0.95
2,8315.85097538152,8883.97099718131,9541.830421492406,9909.698280218481,10308.017289293432,10741.593644565386,11218.232452195472,11749.808342454187
3,8324.274756193878,8895.156299043916,9552.563651041168,9919.086780443224,10316.471737919439,10748.386396601254,11222.949303644798,11749.711494196112
4,8321.895880755128,8894.531236025945,9550.591407178452,9916.550900886741,10313.687014169262,10746.21549388776,11222.010554238066,11751.70020925835
5,8321.340083515617,8893.00011441207,9550.294997705972,9916.916419049325,10314.337110465778,10746.504364106777,11220.568698502635,11754.106496205532
6,8321.18436858273,8893.213755222365,9549.664632125474,9915.86194564055,10311.66490219323,10743.165817682308,11217.049140114319,11751.12130088401
