trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,111740,0,55421760,0,0.4343375936150551,4.055486787110567,0,127600651.69288391
1,111474,0,55379558,0,0.4336100220680237,4.073232006281614,0,127717430.8284604
2,111426,0,55352016,0,0.4326504170894623,4.055876288563013,0,127937045.27633557
3,111467,0,55407200,0,0.4335567429661751,4.070170890539885,0,127796882.18186176
4,111599,0,55420020,0,0.4347265288233757,4.103264033794403,0,127482489.16393255
5,111298,0,55365922,0,0.4341462142765522,4.080441679805517,0,127528284.66386619
6,111519,0,55400534,0,0.4342007040977478,4.077321752905846,0,127591994.8474523
7,111376,0,55376530,0,0.433386467397213,4.088898308575153,0,127776324.7490734
8,111549,0,55396530,0,0.43411267921328545,4.090088043361902,0,127608643.22228868
9,111487,0,55409989,0,0.4339558854699135,4.083806250244379,0,127685764.51036893
