alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,2879.9787853220137,2032,423241.3595759436,66728838.931228146
0.55,3137.9969677539534,2235,484525.643794699,78818617.74118014
0.6,3391.107853134768,2439,552383.2980176102,92757801.81074391
0.65,3639.4643503296684,2642,628588.3048215316,109029899.75118482
0.7,3883.058483148284,2845,715670.3525810891,128323646.99267945
0.75,4122.3470651596035,3048,817734.0158913123,151745595.40927455
0.8,4357.510625164614,3251,941482.8378288283,181092543.46649477
0.85,4589.75018173488,3455,1099751.4430656708,220697742.67206922
0.9,4819.0958094644,3658,1321196.4734550922,276650215.57804626
0.95,5049.330042178904,3861,1699243.8116521742,373712199.6676223
