alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,7296.306632094935,5140,1709134.9881176502,3164428024.801888
0.55,7936.99922748669,5654,1954632.3138513714,3655485285.0606647
0.6,8563.312703109552,6168,2225968.501704846,4204617219.5909247
0.65,9176.348928308455,6682,2530411.016273414,4830007692.894576
0.7,9776.21574584025,7196,2878100.47453129,5553187813.005168
0.75,10363.764731658659,7710,3285098.244325437,6410288777.15428
0.8,10939.680972445454,8224,3778337.922095695,7461004622.742111
0.85,11504.850151452452,8738,4408155.951282603,8816209589.109549
0.9,12061.151313432507,9252,5288428.195573702,10724389720.491459
0.95,12613.59905314426,9766,6785785.458949352,13973765475.63499
