alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,17159.70171282291,12945,6628391.996180095,12841977684.779276
0.55,18707.526721607683,14240,7590425.5925578745,14819976442.579994
0.6,20228.875105822553,15534,8656497.488031669,17039930520.725588
0.65,21724.492962465116,16829,9854587.40007975,19561425692.025356
0.7,23195.486857705117,18124,11225746.819951931,22478189298.65877
0.75,24643.15779637751,19418,12833791.356969677,25934741955.42773
0.8,26069.336794409523,20713,14785837.124478208,30172746284.14564
0.85,27476.470354052086,22007,17282696.695264544,35642983161.63353
0.9,28869.123750096205,23302,20776760.65385186,43364676828.40602
0.95,30259.991747533983,24596,26719660.37938941,56577429748.24414
