alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,6817.687781171808,5140,1649581.7384990654,296830675.72706604
0.55,7439.279246701856,5654,1890257.4284370786,348426102.4678055
0.6,8050.514790794604,6168,2156971.040762825,407337190.0180408
0.65,8652.145176623204,6682,2456973.993556921,475507793.3518954
0.7,9244.458931705913,7196,2800457.566688283,556285340.0801183
0.75,9827.754991026886,7710,3203467.164359029,653534106.4371037
0.8,10403.418018626006,8224,3693052.608918639,776542246.4888827
0.85,10971.34352615362,8738,4319452.548756474,936360190.3265941
0.9,11534.27042334763,9252,5196743.600380884,1165192824.7540586
0.95,12098.762777120182,9766,6691960.483887617,1561086746.596747
