alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,16264.2719323542,12945,6451692.374788512,1287070789.5464294
0.55,17769.59565358014,14240,7399144.869423209,1503022488.4031417
0.6,19255.171197038868,15534,8451019.950032076,1748476180.7307107
0.65,20721.426833675985,16829,9635594.597291712,2033606911.141197
0.7,22168.52793280367,18124,10993721.703185884,2367058355.0821476
0.75,23597.17165778792,19418,12589265.845722122,2766547823.2612534
0.8,25009.431443331978,20713,14529586.007379452,3266258166.1792736
0.85,26406.934652009502,22007,17015366.814190585,3918070997.711927
0.9,27793.604112406683,23302,20499315.70937857,4848821165.005327
0.95,29183.134728266148,24596,26433875.771698274,6456453810.561922
