alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3296.6088447013085,2032,454993.9552753602,3857537765.683763
0.55,3569.5952588288155,2235,518760.0586704761,4447552375.813534
0.6,3834.2089411393786,2439,588985.0446102251,5107717362.320851
0.65,4090.849656728632,2642,667441.9731204781,5856606722.956185
0.7,4339.716328204795,2845,756656.1477255869,6720633537.635516
0.75,4581.4360783730335,3048,860727.1280166378,7742320074.093172
0.8,4816.295369552708,3251,986343.4955815201,8990706948.541977
0.85,5044.9251519148,3455,1146252.891264846,10596128729.523636
0.9,5268.148833547282,3658,1369146.3432233895,12848247357.592579
0.95,5488.125554683425,3861,1748175.3681716588,16668747978.671661
