alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,3141.3744026725058,2032,443265.17987585964,775847593.9752965
0.55,3408.299426006423,2235,506070.77664713335,896687586.9616909
0.6,3668.0714595843688,2439,575368.9428706442,1032337967.6188368
0.65,3920.999026728047,2642,652933.1341975181,1186711668.4298909
0.7,4167.211613203202,2845,741289.3782432188,1365384807.1576438
0.75,4407.279190369542,3048,844537.2593577158,1577286039.6516435
0.8,4641.370681210187,3251,969373.9522730706,1836951144.5870426
0.85,4870.184904032295,3455,1128548.60322316,2171845388.627436
0.9,5094.548190935893,3658,1350774.2594782044,2642937236.3183846
0.95,5316.936417855972,3861,1729268.3429709158,3444261863.127456
