alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,17474.737856239528,12945,6691547.745525017,31334561846.459637
0.55,18877.680621473693,14240,7625920.89570018,23349202397.852818
0.6,20730.397980369897,15534,8765127.900900204,63602258971.82464
0.65,22341.309210292948,16829,9993644.499734575,95145029490.38106
0.7,23826.028126904155,18124,11373941.917028686,109163070157.74608
0.75,25283.558710829875,19418,12990877.977744991,125729511903.53271
0.8,26715.921468786815,20713,14951583.669699615,146029011340.7369
0.85,28125.372423031098,22007,17456812.193559095,172180279812.01917
0.9,29516.33511245133,23302,20958774.73807141,209011330519.57904
0.95,30508.50026835816,24596,26793448.438687246,102624174945.59425
