alpha,optimiser_mt,vanilla_expected_mt,hashes,reductions
0.5,655.4941858131025,315,31515.20450145724,232670320.30269316
0.55,704.1285317012895,347,35753.10420575745,266793502.13456047
0.6,750.8343295635785,378,40397.73282650437,308458241.696126
0.65,795.252424503473,410,45546.4773648073,353836579.15275556
0.7,837.6902226675105,441,51368.696317581576,406186783.0109479
0.75,878.280534543237,473,58120.225532345685,467992093.1218417
0.8,917.2049029461207,504,66243.66371463072,543488032.3595747
0.85,954.4920185030169,536,76529.58979963728,640113948.775426
0.9,990.4239791483946,567,90860.39913542,775171728.1079041
0.95,1025.4772886722842,599,115499.38619991507,1004621861.5840802
