trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,1001,0,125612,0,0.002797752618789673,0.006845500320196152,0,44897464.899645284
1,979,0,126048,0,0.0034695863723754883,0.007242698222398758,0,36329402.5488404
2,1009,0,125179,0,0.003447413444519043,0.0070244260132312775,0,36310991.41851378
3,1000,0,126113,0,0.0034601204097270966,0.006987627595663071,0,36447575.53681395
4,995,0,124937,0,0.0031642168760299683,0.006973478943109512,0,39484335.26994966
5,1035,0,126374,0,0.003411371260881424,0.007035542279481888,0,37044927.19662172
6,1046,0,126787,0,0.003554675728082657,0.007056981325149536,0,35667669.76755631
7,1006,0,125437,0,0.003664035350084305,0.0070647262036800385,0,34234658.78873517
8,1031,0,126979,0,0.0039668455719947815,0.007277369499206543,0,32010068.881039627
9,980,0,124439,0,0.00363767147064209,0.007025960832834244,0,34208421.78967721
