Cost factor,Bulk time
35,120.25815320000402
40,116.28542020000168
45,114.93249310000101
50,114.99189370000386
55,114.9354330999995
60,114.99046079999971
65,113.94189760000154
70,113.25975639999524
75,114.88088969999808
80,113.2729876999947
85,112.88303309999901
90,114.1718611000033
95,112.08310480000364
100,111.71504529999947
