trial,endpoints,num_hashes,num_reductions,hash_time,reduce_time,dedup_time,hash_rate,reduce_rate
0,112647,0,55543310,0,0.4371149614453316,4.079810004681349,0,127067968.15269066
1,112472,0,55511683,0,0.4372272193431854,4.093264043331146,0,126963008.12056293
2,112566,0,55564763,0,0.43630165979266167,4.10353796929121,0,127354003.25179915
3,112581,0,55523720,0,0.43626048415899277,4.086011849343777,0,127271944.20791198
4,112761,0,55570725,0,0.4393424913287163,4.125286843627691,0,126486115.2672391
5,112541,0,55545141,0,0.43915223702788353,4.114225912839174,0,126482655.25395289
6,112495,0,55539328,0,0.43561024218797684,4.123192749917507,0,127497755.15157281
7,112577,0,55541206,0,0.4352710135281086,4.123882375657558,0,127601435.13763593
8,112593,0,55582045,0,0.43539097532629967,4.129971656948328,0,127660076.00029963
9,112516,0,55574286,0,0.43631430342793465,4.1311919540166855,0,127372138.76184355
