startpoint_set_index,actual_mt,hashes,reductions,duration
0,2285,2600800,5302903854,1994.844676800014
1,2281,2600800,5304639795,1998.4072042999906
2,2296,2600800,5305308884,2004.1716401000158
3,2299,2600800,5297891260,1994.8230570000014
4,2286,2600800,5302915904,2007.0973585000029
5,2286,2600800,5300961163,2017.18327030004
6,2290,2600800,5298049606,1999.6116882999777
7,2295,2600800,5324039393,2017.910725099966
8,2300,2600800,5312230315,2025.9256880999892
9,2280,2600800,5286053996,2012.8715160999564
