startpoint_set_index,actual_mt,hashes,reductions,duration
0,2269,2600800,3083056933,1154.0797138999915
1,2260,2600800,3083933689,1146.552764299966
2,2258,2600800,3085520959,1162.5543105000397
3,2250,2600800,3076038353,1162.7462233999977
4,2266,2600800,3082237438,1147.6761183000053
5,2252,2600800,3078783922,1151.787419100001
6,2260,2600800,3078142514,1155.0424093000474
7,2261,2600800,3082859107,1147.7236922000302
8,2273,2600800,3088702636,1151.503996399988
9,2261,2600800,3075316389,1146.7336407999974
