startpoint_set_index,actual_mt,hashes,reductions,duration
0,2286,2600800,4196318618,1577.7514849000145
1,2277,2600800,4191479837,1597.9088180000545
2,2264,2600800,4178522127,1571.3372102000285
3,2281,2600800,4188646217,1587.2324098999961
4,2281,2600800,4196733584,1599.4131200999836
5,2277,2600800,4192105441,1589.5081371999695
6,2286,2600800,4202991681,1576.811482500052
7,2276,2600800,4190988687,1585.4123544000322
8,2275,2600800,4200785977,1590.631559100002
9,2280,2600800,4189473775,1592.9858673000126
