startpoint_set_index,actual_mt,hashes,reductions,duration
0,2204,2600800,863761930,321.2129277999629
1,2192,2600800,862705879,329.7151487999945
2,2202,2600800,863976414,314.8905380999786
3,2193,2600800,861854508,308.7341895000427
4,2184,2600800,860483202,307.6387171999668
5,2207,2600800,865134435,310.7267595999874
6,2217,2600800,867159912,318.66183210001327
7,2191,2600800,861581458,309.1973026000196
8,2208,2600800,865519259,311.32692069996847
9,2204,2600800,865848694,311.42444790003356
